Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,4e-09,,,
Horizontal Delay,6.7e-08,6.7e-08,6.7e-08,6.7e-08
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.002,0.002,0.002,0.002
Vertical Position,-3.9,-3.94,-3.98,-4.04
Label,,,,
TIME,CH1,CH2,CH3,CH4
8.800e-09,0.0179203,0.0180003,0.0180803,0.0182003
9.000e-09,0.0179209,0.0180009,0.0180809,0.0182009
9.200e-09,0.0179231,0.0180031,0.0180831,0.0182031
9.400e-09,0.0179238,0.0180037,0.0180563,0.0182038
9.600e-09,0.0179206,0.0180006,0.0179028,0.018165
9.800e-09,0.0178388,0.0180019,0.0159484,0.0181141
1.000e-08,0.0166888,0.0180003,0.0115322,0.0181163
1.020e-08,0.00947469,0.0180012,0.00705375,0.0181709
1.040e-08,0.00234375,0.0180006,0.004065,0.0181987
1.060e-08,-0.000427813,0.0180009,0.00214094,0.0182009
1.080e-08,-0.0011975,0.0180022,0.000725312,0.0181966
1.100e-08,-0.00133437,0.0179181,-0.000196875,0.0181134
1.120e-08,-0.0011725,0.0174509,-0.000705313,0.0174438
1.140e-08,-0.000778125,0.0136213,-0.000715,0.0137828
1.160e-08,0.000110625,0.00654094,1.96875e-05,0.00698531
1.180e-08,0.00204531,0.00163469,0.0024825,0.00163656
1.200e-08,0.00613594,6.59375e-05,0.00793938,-0.000966875
1.220e-08,0.0124434,0.000230937,0.0146791,-0.00176688
1.240e-08,0.0172659,0.00187656,0.0178119,-0.00176719
1.260e-08,0.0178578,0.00544781,0.0180231,-0.000766562
1.280e-08,0.0179212,0.0105009,0.0180813,0.00214281
1.300e-08,0.0179203,0.0149994,0.0180803,0.00677469
1.320e-08,0.0179209,0.0173791,0.0180809,0.0116903
1.340e-08,0.01792,0.0179122,0.01808,0.0155475
1.360e-08,0.0179203,0.0179369,0.0180803,0.0174909
1.380e-08,0.0179203,0.018,0.0180803,0.0180247
1.400e-08,0.01792,0.018,0.01808,0.0179528
1.420e-08,0.0179209,0.0179956,0.0180747,0.0176322
1.440e-08,0.0179238,0.0179188,0.018,0.0168234
1.460e-08,0.0178394,0.0179059,0.0178134,0.0152259
1.480e-08,0.0169169,0.0177656,0.0160125,0.0125869
1.500e-08,0.00955844,0.0172884,0.0116691,0.00930344
1.520e-08,0.000555313,0.0162634,0.00652563,0.00583781
1.540e-08,-0.00220219,0.014805,0.00309812,0.00261906
1.560e-08,-0.00238938,0.0132075,0.00160437,0.000345313
1.580e-08,-0.00239625,0.0118447,0.00124062,-0.0007975
1.600e-08,-0.00239937,0.0109297,0.00164062,-0.00117562
1.620e-08,-0.00239813,0.0106647,0.00281375,-0.00107938
1.640e-08,-0.00239969,0.0110762,0.0049825,-0.00035625
1.660e-08,-0.00237656,0.0120488,0.00819656,0.00155688
1.680e-08,-0.00204281,0.01336,0.0118466,0.00452656
1.700e-08,-0.000142812,0.0146647,0.01506,0.00753031
1.720e-08,0.00597438,0.0156672,0.0170066,0.00989719
1.740e-08,0.0132697,0.0162853,0.0177941,0.0112675
1.760e-08,0.0174469,0.0164891,0.0179809,0.0115019
1.780e-08,0.0178394,0.0163375,0.0179981,0.0107338
1.800e-08,0.01792,0.01568,0.0179997,0.00922969
1.820e-08,0.0179238,0.0141844,0.0179934,0.00716
1.840e-08,0.0179216,0.0115288,0.0179828,0.00468312
1.860e-08,0.0179206,0.00786969,0.0179363,0.00186063
1.880e-08,0.01784,0.00384906,0.0176481,-0.000637812
1.900e-08,0.01782,0.000523125,0.0168009,-0.00178781
1.920e-08,0.0176278,-0.00122531,0.0144009,-0.00207313
1.940e-08,0.0169734,-0.00183813,0.0102063,-0.00209844
1.960e-08,0.0138863,-0.00202219,0.00534156,-0.0021075
1.980e-08,0.00803469,-0.00198063,0.00132406,-0.00210281
2.000e-08,0.00205281,-0.00165031,-0.000904375,-0.00208906
2.020e-08,-0.0018825,-0.000923125,-0.00174031,-0.00204594
2.040e-08,-0.00239062,0.00033125,-0.00204313,-0.00192906
2.060e-08,-0.00239906,0.00186562,-0.00215969,-0.00169688
2.080e-08,-0.00239625,0.00316375,-0.00216188,-0.00131281
2.100e-08,-0.00239969,0.00391219,-0.00208375,-0.00056
2.120e-08,-0.00239906,0.00401094,-0.00191906,0.000494062
2.140e-08,-0.00239969,0.00356594,-0.00143063,0.00152469
2.160e-08,-0.0023925,0.00284594,-0.000316875,0.00241469
2.180e-08,-0.00234562,0.00205312,0.00178781,0.00312719
2.200e-08,-0.00200875,0.00146156,0.00498375,0.00360719
2.220e-08,-0.00123094,0.00117562,0.00854031,0.0037475
2.240e-08,0.00129406,0.00118812,0.0117594,0.00333156
2.260e-08,0.00529875,0.00137844,0.0143222,0.0022575
2.280e-08,0.00944875,0.00159969,0.0160156,0.000581562
2.300e-08,0.0135003,0.00166656,0.0168166,-0.0011325
2.320e-08,0.0167153,0.00146469,0.0169659,-0.00190688
2.340e-08,0.0177538,0.000922187,0.0165269,-0.00206406
2.360e-08,0.0177881,0.000145,0.0153141,-0.00210156
2.380e-08,0.0177806,-0.000577188,0.01324,-0.00210156
2.400e-08,0.0176284,-0.0010675,0.0102116,-0.00209844
2.420e-08,0.0173156,-0.00129594,0.00667563,-0.00208375
2.440e-08,0.0166009,-0.00122375,0.003145,-0.00192906
2.460e-08,0.0135525,-0.000811563,0.000240312,-0.00087875
2.480e-08,0.00820531,0.000285312,-0.00137688,0.00145437
2.500e-08,0.00262062,0.00195531,-0.00199406,0.00378313
2.520e-08,-0.00165469,0.00357531,-0.00218656,0.005525
2.540e-08,-0.00239937,0.00469031,-0.00222031,0.00645031
2.560e-08,-0.00239875,0.00506781,-0.00222406,0.00642969
2.580e-08,-0.00239969,0.0046325,-0.00222688,0.00552906
2.600e-08,-0.00239906,0.0035425,-0.00222125,0.00401938
2.620e-08,-0.0024,0.00207281,-0.00220438,0.00236812
2.640e-08,-0.00239969,0.000542812,-0.00209125,0.0009275
2.660e-08,-0.00239969,-0.000634063,-0.00185344,-3.84375e-05
2.680e-08,-0.00239,-0.00118844,-0.00087625,-0.000405
2.700e-08,-0.00219438,-0.00132781,0.001695,-0.000213438
2.720e-08,-0.00154844,-0.00111125,0.00550531,0.0003775
2.740e-08,0.000978438,-0.000271875,0.00945188,0.00116125
2.760e-08,0.00482938,0.00138344,0.0129875,0.0020075
2.780e-08,0.00850063,0.00338156,0.0155791,0.00278688
2.800e-08,0.0117069,0.00540437,0.0169391,0.00344812
2.820e-08,0.0142228,0.00709156,0.0172909,0.00402125
2.840e-08,0.01579,0.00825719,0.0168147,0.00450188
2.860e-08,0.0163659,0.00879469,0.015205,0.00493219
2.880e-08,0.0160062,0.00882906,0.0121072,0.005335
2.900e-08,0.0148375,0.008435,0.00802938,0.00567063
2.920e-08,0.0128647,0.00782062,0.00359406,0.00584844
2.940e-08,0.0103103,0.00717594,-0.00024125,0.00583531
2.960e-08,0.00744188,0.00656094,-0.00178938,0.0055975
