Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,4e-09,,,
Horizontal Delay,2.8e-10,2.8e-10,2.8e-10,2.8e-10
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.1,0.1
Vertical Position,-3.98,-3.98,-3.9,-4.1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.512e-08,-0.007125,-0.00740625,-0.0086875,0.001125
-4.492e-08,-0.007375,-0.00776562,-0.00839062,0.000546875
-4.472e-08,-0.00728125,-0.00717187,-0.00873438,0.0009375
-4.452e-08,-0.00648437,-0.00734375,-0.00865625,0.00148437
-4.432e-08,-0.00721875,-0.008125,-0.0084375,0.0006875
-4.412e-08,-0.0070625,-0.00776562,-0.00873438,0.000890625
-4.392e-08,-0.00684375,-0.00770312,-0.00873438,0.00135937
-4.372e-08,-0.00728125,-0.00771875,-0.00859375,0.00096875
-4.352e-08,-0.00740625,-0.00779687,-0.00859375,0.00096875
-4.332e-08,-0.00676562,-0.00728125,-0.0083125,0.0015
-4.312e-08,-0.00735938,-0.00759375,-0.008875,0.0005625
-4.292e-08,-0.00703125,-0.00790625,-0.00860937,0.00115625
-4.272e-08,-0.00715625,-0.00753125,-0.008625,0.0009375
-4.252e-08,-0.00678125,-0.00770312,-0.00854688,0.00114062
-4.232e-08,-0.007,-0.00759375,-0.00848437,0.0010625
-4.212e-08,-0.0071875,-0.00764063,-0.00870312,0.0008125
-4.192e-08,-0.00692187,-0.00751562,-0.00873438,0.0011875
-4.172e-08,-0.00715625,-0.00778125,-0.00859375,0.00071875
-4.152e-08,-0.00703125,-0.00721875,-0.0085,0.000859375
-4.132e-08,-0.0074375,-0.00767187,-0.0086875,0.00126562
-4.112e-08,-0.00696875,-0.00717187,-0.00907812,0.00157812
-4.092e-08,-0.00679687,-0.00753125,-0.00867187,0.00185937
-4.072e-08,-0.00721875,-0.0075,-0.00929687,0.00115625
-4.052e-08,-0.0073125,-0.00792187,-0.0085625,0.001125
-4.032e-08,-0.0069375,-0.00735938,-0.0089375,0.00101562
