Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,1.6e-10,1.6e-10,1.6e-10,1.6e-10
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,0.05
Vertical Position,-4.62,-4.52,-4.58,-4.66
Label,,,,
TIME,CH1,CH2,CH3,CH4
-7.504e-08,-0.00510937,-0.00967969,-0.00575,-0.00352344
-7.484e-08,-0.00525781,-0.00986719,-0.00569531,-0.00344531
-7.464e-08,-0.00515625,-0.009625,-0.00557031,-0.00335156
-7.444e-08,-0.00503906,-0.00960156,-0.00574219,-0.0033125
-7.424e-08,-0.00501562,-0.00964844,-0.00580469,-0.00330469
-7.404e-08,-0.00517969,-0.00969531,-0.00571094,-0.00341406
-7.384e-08,-0.00485937,-0.00945312,-0.00582812,-0.00342187
-7.364e-08,-0.00508594,-0.00970312,-0.00567187,-0.00348437
-7.344e-08,-0.00526562,-0.00964844,-0.00578125,-0.00345313
-7.324e-08,-0.00510156,-0.00980469,-0.00567187,-0.00328906
-7.304e-08,-0.00486719,-0.00971875,-0.005875,-0.00317969
-7.284e-08,-0.00514062,-0.00990625,-0.00564844,-0.0035
-7.264e-08,-0.00508594,-0.00957812,-0.00591406,-0.00340625
-7.244e-08,-0.00511719,-0.00973437,-0.00564062,-0.00345313
-7.224e-08,-0.00514062,-0.00984375,-0.00585938,-0.00344531
-7.204e-08,-0.00525781,-0.00986719,-0.005625,-0.00335156
-7.184e-08,-0.004625,-0.00947656,-0.00576562,-0.00324219
-7.164e-08,-0.00500781,-0.00973437,-0.00564062,-0.00338281
-7.144e-08,-0.00510156,-0.00975,-0.005875,-0.00333594
-7.124e-08,-0.00525,-0.00994531,-0.00573437,-0.00335156
-7.104e-08,-0.00503906,-0.00970312,-0.0059375,-0.0033125
-7.084e-08,-0.00507812,-0.00965625,-0.00578125,-0.00349219
-7.064e-08,-0.00521094,-0.00944531,-0.00590625,-0.00339844
-7.044e-08,-0.00521094,-0.00959375,-0.00575,-0.00339844
-7.024e-08,-0.00479688,-0.00970312,-0.00560156,-0.00315625
-7.004e-08,-0.00503906,-0.00972656,-0.00583594,-0.00357812
-6.984e-08,-0.00505469,-0.00953125,-0.00582812,-0.00341406
-6.964e-08,-0.0050625,-0.00969531,-0.00575781,-0.00327344
-6.944e-08,-0.00508594,-0.00978125,-0.00584375,-0.00350781
-6.924e-08,-0.00517969,-0.00960937,-0.00589062,-0.00351562
-6.904e-08,-0.00463281,-0.00940625,-0.00564062,-0.00328125
-6.884e-08,-0.00532031,-0.00991406,-0.00579688,-0.00348437
-6.864e-08,-0.00516406,-0.00964844,-0.00573437,-0.00340625
-6.844e-08,-0.00532812,-0.00977344,-0.00572656,-0.0035625
-6.824e-08,-0.00517187,-0.00959375,-0.005625,-0.00339844
-6.804e-08,-0.00497656,-0.00951562,-0.00578125,-0.00342187
-6.784e-08,-0.00501562,-0.00957031,-0.00577344,-0.003375
-6.764e-08,-0.00519531,-0.00976562,-0.0056875,-0.00334375
-6.744e-08,-0.00507031,-0.00954687,-0.0058125,-0.00332031
-6.724e-08,-0.0051875,-0.00957812,-0.00564062,-0.00332812
-6.704e-08,-0.00517969,-0.00966406,-0.00578125,-0.00344531
-6.684e-08,-0.00510156,-0.00979687,-0.00551562,-0.00332812
-6.664e-08,-0.00489844,-0.009625,-0.00592187,-0.00321875
-6.644e-08,-0.00508594,-0.00992969,-0.00567187,-0.00341406
-6.624e-08,-0.00503906,-0.0095,-0.00594531,-0.00332812
-6.604e-08,-0.00521094,-0.00982031,-0.00563281,-0.00348437
-6.584e-08,-0.00515625,-0.00974219,-0.00586719,-0.00344531
-6.564e-08,-0.00517969,-0.00975781,-0.00564062,-0.00341406
-6.544e-08,-0.00474219,-0.00930469,-0.00592969,-0.00309375
-6.524e-08,-0.00510937,-0.00975781,-0.005625,-0.00326562
-6.504e-08,-0.00513281,-0.00982031,-0.00578906,-0.003375
-6.484e-08,-0.00515625,-0.00979687,-0.00571094,-0.003375
-6.464e-08,-0.00510156,-0.00970312,-0.00597656,-0.00336719
-6.444e-08,-0.00520313,-0.00969531,-0.00578125,-0.00349219
-6.424e-08,-0.00510156,-0.00947656,-0.00579688,-0.00342187
-6.404e-08,-0.00520313,-0.00964062,-0.00567969,-0.00350781
-6.384e-08,-0.00485156,-0.009625,-0.00547656,-0.00319531
-6.364e-08,-0.00508594,-0.00958594,-0.00584375,-0.00353906
