Model,DPO4104B
Firmware Version,1.38

Waveform Type,Analog,Analog,Analog,Analog
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-09,,,
Horizontal Delay,5.7e-09,5.7e-09,5.7e-09,5.7e-09
Sample Interval,2e-10,,,
Record Length,1000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.1,0.1
Vertical Position,-3.88,-3.98,-3.8,-3.96
Label,,,,
TIME,CH1,CH2,CH3,CH4
-6.490e-08,0,-0.002,-0.008,0.004
-6.470e-08,-0.004,-0.002,-0.004,0.008
-6.450e-08,-0.004,-0.002,-0.008,0.004
-6.430e-08,-0.012,-0.002,-0.008,0.004
-6.410e-08,0,-0.002,-0.008,0
-6.390e-08,-0.004,-0.01,-0.008,0.004
-6.370e-08,0,-0.002,-0.008,0.004
-6.350e-08,-0.012,-0.006,-0.004,0
-6.330e-08,-0.004,-0.01,-0.008,0
-6.310e-08,-0.008,-0.01,-0.008,0.004
-6.290e-08,0.004,-0.002,-0.008,0.008
-6.270e-08,-0.004,-0.002,4.44089e-17,0.008
-6.250e-08,0,-0.002,4.44089e-17,0.004
-6.230e-08,-0.004,-0.006,-0.004,0
-6.210e-08,-0.004,0.002,-0.012,0.004
-6.190e-08,-0.004,-0.006,-0.008,0
-6.170e-08,-0.004,-0.002,-0.004,0.004
-6.150e-08,-0.008,-0.01,-0.004,0.008
-6.130e-08,0,-0.002,-0.008,0
-6.110e-08,-0.008,-0.006,-0.004,0
-6.090e-08,0,-0.002,-0.008,0
-6.070e-08,-0.008,-0.006,-0.004,0.004
-6.050e-08,0,-0.01,-0.008,0.004
-6.030e-08,-0.008,-0.006,0.004,0.004
-6.010e-08,-0.004,-0.002,-0.008,0.004
-5.990e-08,-0.004,-0.002,4.44089e-17,0.004
-5.970e-08,-0.008,-0.002,-0.012,0.008
-5.950e-08,-0.008,-0.006,-0.004,0.012
-5.930e-08,-0.004,-0.002,-0.012,0.008
-5.910e-08,-0.004,0.006,-0.012,0
-5.890e-08,0.004,0.002,-0.008,0
-5.870e-08,0,-0.002,-0.008,0
-5.850e-08,0,0.002,-0.004,0.004
-5.830e-08,-0.008,-0.006,-0.008,0
-5.810e-08,0,-0.006,-0.008,0.012
-5.790e-08,-0.004,-0.006,-0.008,0.008
-5.770e-08,0,-0.01,-0.012,0.008
-5.750e-08,0,-0.01,-0.004,0.012
-5.730e-08,0.004,-0.006,-0.016,0.004
-5.710e-08,-0.004,-0.002,-0.004,0.008
-5.690e-08,0,0.002,-0.008,0.008
-5.670e-08,0,-0.01,-0.004,0.008
-5.650e-08,0,-0.002,-0.004,0.008
-5.630e-08,-0.004,-0.006,-0.004,0.008
-5.610e-08,0,-0.002,-0.008,0.004
-5.590e-08,-0.004,-0.014,4.44089e-17,0.004
-5.570e-08,0,-0.002,-0.016,0
-5.550e-08,-0.004,-0.01,-0.008,0.004
-5.530e-08,0,-0.006,-0.016,0
-5.510e-08,0,-0.006,-0.004,0
-5.490e-08,0.004,0.002,-0.008,0.008
